"","sp","lon","lat","grupo"
"1","Aparasphenodon brunoi",-44.2,-22.933333,"amphibians"
"2","Aparasphenodon brunoi",-40.17586,-19.766469,"amphibians"
"3","Aparasphenodon brunoi",-41.683333,-22.283333,"amphibians"
"4","Aparasphenodon brunoi",-40.45,-20.583333,"amphibians"
"5","Aparasphenodon brunoi",-40.007791,-18.108921,"amphibians"
"6","Aparasphenodon brunoi",-40.027948,-19.380555,"amphibians"
"7","Aparasphenodon brunoi",-43.028889,-22.575833,"amphibians"
"8","Aparasphenodon brunoi",-43.991818,-23.066697,"amphibians"
"9","Aparasphenodon brunoi",-43.9462184,-23.0574174,"amphibians"
"10","Aparasphenodon brunoi",-42.81014,-22.919725,"amphibians"
"11","Aparasphenodon brunoi",-42.551706,-19.678756,"amphibians"
"12","Aparasphenodon brunoi",-40.966667,-21.25,"amphibians"
"13","Aparasphenodon brunoi",-43.533333,-23.05,"amphibians"
"14","Aparasphenodon brunoi",-43.449881,-22.921177,"amphibians"
"15","Aparasphenodon brunoi",-43.2075,-22.903056,"amphibians"
"16","Aparasphenodon brunoi",-40.097778,-19.196944,"amphibians"
"17","Aparasphenodon brunoi",-45.120381,-23.496295,"amphibians"
"18","Aparasphenodon brunoi",-39.083333,-15.3,"amphibians"
"19","Aparasphenodon brunoi",-40.292222,-20.329722,"amphibians"
"20","Aparasphenodon brunoi",-40.3,-20.266667,"amphibians"
"21","Aplastodiscus perviridis",-52.45,-26.566667,"amphibians"
"22","Aplastodiscus perviridis",-48.916667,-27.733333,"amphibians"
"23","Aplastodiscus perviridis",-51.13,-27.689167,"amphibians"
"24","Aplastodiscus perviridis",-49.084722,-27.999722,"amphibians"
"25","Aplastodiscus perviridis",-46.549722,-23.110278,"amphibians"
"26","Aplastodiscus perviridis",-48.445,-22.886667,"amphibians"
"27","Aplastodiscus perviridis",-48.439722,-22.88,"amphibians"
"28","Aplastodiscus perviridis",-47.13,-23.3,"amphibians"
"29","Aplastodiscus perviridis",-51.3175,-26.745556,"amphibians"
"30","Aplastodiscus perviridis",-45.7478,-23.0094,"amphibians"
"31","Aplastodiscus perviridis",-46.144444,-22.755556,"amphibians"
"32","Aplastodiscus perviridis",-49.252778,-26.181389,"amphibians"
"33","Aplastodiscus perviridis",-50.760833,-27.899167,"amphibians"
"34","Aplastodiscus perviridis",-45.59,-22.73,"amphibians"
"35","Aplastodiscus perviridis",-45.53158,-22.699226,"amphibians"
"36","Aplastodiscus perviridis",-45.458441,-22.673752,"amphibians"
"37","Aplastodiscus perviridis",-51.169444,-27.575,"amphibians"
"38","Aplastodiscus perviridis",-52.0558,-25.5722,"amphibians"
"39","Aplastodiscus perviridis",-50.399722,-26.166667,"amphibians"
"40","Aplastodiscus perviridis",-51.6119,-27.3436,"amphibians"
"41","Aplastodiscus perviridis",-52.619389,-27.185667,"amphibians"
