"","sp","lon","lat","grupo"
"1","Aburria jacutinga",-45.4167,-23.8,"birds"
"2","Aburria jacutinga",-47.98,-24.1756,"birds"
"3","Aburria jacutinga",-54.44626,-25.68337,"birds"
"4","Aburria jacutinga",-48.3615,-24.0793,"birds"
"5","Aburria jacutinga",-43.3246,-22.484,"birds"
"6","Aburria jacutinga",-47.9773,-24.1367,"birds"
"7","Aburria jacutinga",-48.4128,-24.2682,"birds"
"8","Aburria jacutinga",-40.1997,-4.49702,"birds"
"9","Aburria jacutinga",-57.2058,-18.6254,"birds"
"10","Aburria jacutinga",-45.5717,-22.7175,"birds"
"11","Aburria jacutinga",-48.4059,-24.1647,"birds"
"12","Aburria jacutinga",-43.76953,-20.7972,"birds"
"13","Aburria jacutinga",-51.64228,-14.24081,"birds"
"14","Aburria jacutinga",-48.4181,-24.3013,"birds"
"15","Aburria jacutinga",-45.173,-23.4736,"birds"
"16","Aburria jacutinga",-54.4384,-25.6808,"birds"
"17","Aburria jacutinga",-42.7119,-22.4878,"birds"
"18","Aburria jacutinga",-45.1442,-23.3548,"birds"
"19","Aburria jacutinga",-47.9226,-25.0762,"birds"
"20","Aburria jacutinga",-56.286,-19.5682,"birds"
"21","Amaurospiza moesta",-54.45,-25.68,"birds"
"22","Amaurospiza moesta",-41.0793,-20.6723,"birds"
"23","Amaurospiza moesta",-44.5798,-22.4516,"birds"
"24","Amaurospiza moesta",-44.65,-22.5833,"birds"
"25","Amaurospiza moesta",-48.4118,-24.2673,"birds"
"26","Amaurospiza moesta",-56.5156,-21.1144,"birds"
"27","Amaurospiza moesta",-44.6136,-22.4458,"birds"
"28","Amaurospiza moesta",-52.43333,-27.38333,"birds"
"29","Amaurospiza moesta",-47.9398,-15.6971,"birds"
"30","Amaurospiza moesta",-50.82,-29.37,"birds"
"31","Amaurospiza moesta",-42.8094,-22.4259,"birds"
"32","Amaurospiza moesta",-57.2309,-19.2545,"birds"
"33","Amaurospiza moesta",-50.5628,-29.4444,"birds"
"34","Amaurospiza moesta",-49.9974,-29.0778,"birds"
"35","Amaurospiza moesta",-43.0001,-22.4719,"birds"
"36","Amazona vinacea",-48.5701,-25.0624,"birds"
"37","Amazona vinacea",-45.5898,-22.7372,"birds"
"38","Amazona vinacea",-44.595,-22.4609,"birds"
"39","Amazona vinacea",-47.9773,-24.1367,"birds"
"40","Amazona vinacea",-50.6111,-29.4431,"birds"
"41","Amazona vinacea",-50.6056,-24.298,"birds"
"42","Amazona vinacea",-45.4899,-22.6913,"birds"
"43","Amazona vinacea",-45.4829,-22.7005,"birds"
"44","Amazona vinacea",-45.55,-22.71,"birds"
"45","Amazona vinacea",-45.497,-22.7911,"birds"
"46","Amazona vinacea",-51.5,-27.6,"birds"
"47","Amazona vinacea",-50.0789,-29.1597,"birds"
"48","Amazona vinacea",-50.1941,-29.1878,"birds"
"49","Amazona vinacea",-45.5717,-22.7175,"birds"
"50","Amazona vinacea",-49.9974,-29.0778,"birds"
"51","Amazona vinacea",-50.0621,-29.1557,"birds"
"52","Amazona vinacea",-45.5243,-22.6943,"birds"
"53","Amazona vinacea",-50.5628,-29.4444,"birds"
"54","Amazona vinacea",-47.0347,-23.974,"birds"
"55","Amazona vinacea",-45.642,-22.6797,"birds"
"56","Amazona vinacea",-50.6772,-29.4659,"birds"
"57","Amazona vinacea",-50.0977,-28.1422,"birds"
"58","Amazona vinacea",-44.6136,-22.4458,"birds"
"59","Anabacerthia amaurotis",-45.85,-23.5333,"birds"
"60","Anabacerthia amaurotis",-44.5917,-22.462,"birds"
"61","Anabacerthia amaurotis",-41.0793,-20.6723,"birds"
"62","Anabacerthia amaurotis",-42.5297,-22.3583,"birds"
"63","Anabacerthia amaurotis",-48.4128,-24.2682,"birds"
"64","Anabacerthia amaurotis",-43.0001,-22.4719,"birds"
"65","Anabacerthia amaurotis",-44.7423,-22.3798,"birds"
"66","Anabacerthia amaurotis",-45.5898,-22.7372,"birds"
"67","Anabacerthia amaurotis",-42.7119,-22.4878,"birds"
"68","Anabacerthia amaurotis",-48.3615,-24.0793,"birds"
"69","Anabacerthia amaurotis",-42.6421,-22.4445,"birds"
"70","Anabacerthia amaurotis",-47.9773,-24.1367,"birds"
"71","Anabacerthia amaurotis",-44.6136,-22.4458,"birds"
"72","Anabacerthia amaurotis",-42.5509,-22.38,"birds"
"73","Anabacerthia amaurotis",-44.5381,-22.9929,"birds"
"74","Anabacerthia amaurotis",-45.6024,-22.7113,"birds"
"75","Anabacerthia amaurotis",-45.4899,-22.6913,"birds"
"76","Anabacerthia amaurotis",-45.4171,-23.8778,"birds"
"77","Anabacerthia amaurotis",-45.5722,-22.7183,"birds"
"78","Anabacerthia amaurotis",-42.98,-22.43,"birds"
"79","Anabacerthia amaurotis",-52.35,-29.55,"birds"
"80","Anabacerthia amaurotis",-52.36667,-29.55,"birds"
"81","Anabacerthia amaurotis",-43.00111,-22.45139,"birds"
"82","Anabacerthia amaurotis",-49.3078,-26.3234,"birds"
"83","Anabacerthia amaurotis",-45.8667,-23.6333,"birds"
"84","Anabacerthia amaurotis",-44.6083,-22.4383,"birds"
"85","Anabacerthia amaurotis",-41.1294,-21.6993,"birds"
"86","Anabacerthia amaurotis",-50.6225,-29.4381,"birds"
"87","Anabacerthia amaurotis",-44.6312,-22.4095,"birds"
"88","Anabacerthia amaurotis",-42.5149,-22.317,"birds"
"89","Anabacerthia amaurotis",-42.4274,-22.3861,"birds"
"90","Anabacerthia amaurotis",-42.5859,-22.3537,"birds"
"91","Anabacerthia amaurotis",-49.3439,-26.4022,"birds"
"92","Anabacerthia amaurotis",-44.6164,-22.4307,"birds"
"93","Anabacerthia amaurotis",-42.5989,-21.9177,"birds"
"94","Anabacerthia amaurotis",-44.3719,-22.4336,"birds"
"95","Anabacerthia amaurotis",-48.4181,-24.3013,"birds"
"96","Anabacerthia amaurotis",-42.6452,-22.4329,"birds"
"97","Anabacerthia amaurotis",-46.637,-23.45,"birds"
"98","Anabacerthia amaurotis",-45.1222,-23.3575,"birds"
"99","Anabacerthia amaurotis",-42.7103,-22.4865,"birds"
"100","Anabacerthia amaurotis",-43.0758,-22.3214,"birds"
"101","Anabacerthia amaurotis",-47.9201,-24.1933,"birds"
"102","Anabacerthia amaurotis",-45.1442,-23.3548,"birds"
"103","Anabacerthia amaurotis",-44.6064,-22.3271,"birds"
"104","Anabacerthia amaurotis",-43.052,-22.9157,"birds"
"105","Anabacerthia amaurotis",-44.5712,-22.484,"birds"
"106","Anabacerthia amaurotis",-42.5143,-22.2459,"birds"
"107","Anabazenops fuscus",-45.85,-23.5333,"birds"
"108","Anabazenops fuscus",-44.5917,-22.462,"birds"
"109","Anabazenops fuscus",-47.98,-24.1756,"birds"
"110","Anabazenops fuscus",-40.1334,-14.4014,"birds"
"111","Anabazenops fuscus",-41.0793,-20.6723,"birds"
"112","Anabazenops fuscus",-44.5798,-22.4516,"birds"
"113","Anabazenops fuscus",-48.4128,-24.2682,"birds"
"114","Anabazenops fuscus",-44.65,-22.5833,"birds"
"115","Anabazenops fuscus",-47.8702,-24.0496,"birds"
"116","Anabazenops fuscus",-43.0001,-22.4719,"birds"
"117","Anabazenops fuscus",-48.3096,-24.282,"birds"
"118","Anabazenops fuscus",-42.6421,-22.4445,"birds"
"119","Anabazenops fuscus",-48.3615,-24.0793,"birds"
"120","Anabazenops fuscus",-42.5645,-22.2275,"birds"
"121","Anabazenops fuscus",-44.6136,-22.4458,"birds"
"122","Anabazenops fuscus",-44.7423,-22.3798,"birds"
"123","Anabazenops fuscus",-48.4128,-24.2634,"birds"
"124","Anabazenops fuscus",-49.3078,-26.3234,"birds"
"125","Anabazenops fuscus",-48.4223,-24.2835,"birds"
"126","Anabazenops fuscus",-46.637,-23.45,"birds"
"127","Anabazenops fuscus",-54.4383,-25.6425,"birds"
"128","Anabazenops fuscus",-42.5297,-22.3583,"birds"
"129","Anabazenops fuscus",-40.1345,-14.4132,"birds"
"130","Anabazenops fuscus",-42.5509,-22.38,"birds"
"131","Anabazenops fuscus",-45.0629,-23.4011,"birds"
"132","Anabazenops fuscus",-44.6078,-22.4379,"birds"
"133","Anabazenops fuscus",-43.0413,-22.4927,"birds"
"134","Anabazenops fuscus",-42.98,-22.43,"birds"
"135","Anabazenops fuscus",-44.57,-22.5,"birds"
"136","Anabazenops fuscus",-43.37,-22.45,"birds"
"137","Anabazenops fuscus",-45.9,-23.65,"birds"
"138","Anabazenops fuscus",-44.71667,-22.33333,"birds"
"139","Anabazenops fuscus",-46,-23.68333,"birds"
"140","Anabazenops fuscus",-45.083,-23.4258,"birds"
"141","Anabazenops fuscus",-40.1894,-14.3449,"birds"
"142","Anabazenops fuscus",-42.4274,-22.3861,"birds"
"143","Anabazenops fuscus",-44.6164,-22.4307,"birds"
"144","Anabazenops fuscus",-45.1561,-23.3184,"birds"
"145","Anabazenops fuscus",-42.5945,-22.2325,"birds"
"146","Anabazenops fuscus",-44.63,-22.38,"birds"
"147","Anabazenops fuscus",-44.7428,-22.3325,"birds"
"148","Anabazenops fuscus",-48.4181,-24.3013,"birds"
"149","Anabazenops fuscus",-45.1334,-23.3512,"birds"
"150","Anabazenops fuscus",-45.173,-23.4736,"birds"
"151","Anabazenops fuscus",-40.5303,-19.9704,"birds"
"152","Anabazenops fuscus",-45.8849,-23.5227,"birds"
"153","Anabazenops fuscus",-45.1222,-23.3575,"birds"
"154","Anabazenops fuscus",-42.7103,-22.4865,"birds"
"155","Anabazenops fuscus",-42.5143,-22.2459,"birds"
"156","Anabazenops fuscus",-44.6749,-22.3883,"birds"
"157","Anabazenops fuscus",-40.5866,-19.923,"birds"
"158","Anabazenops fuscus",-41.001,-20.6613,"birds"
"159","Anabazenops fuscus",-40.5532,-19.9073,"birds"
"160","Anabazenops fuscus",-42.71,-22.2796,"birds"
"161","Anabazenops fuscus",-47.9201,-24.1933,"birds"
"162","Anabazenops fuscus",-45.1442,-23.3548,"birds"
"163","Anabazenops fuscus",-42.6716,-22.0484,"birds"
"164","Anabazenops fuscus",-40.99,-20.4965,"birds"
"165","Anabazenops fuscus",-47.9773,-24.1367,"birds"
"166","Anabazenops fuscus",-39.5644,-15.392,"birds"
"167","Anabazenops fuscus",-39.5768,-15.3823,"birds"
"168","Anabazenops fuscus",-44.581,-22.3234,"birds"
"169","Anabazenops fuscus",-43.052,-22.9157,"birds"
"170","Anabazenops fuscus",-42.4649,-20.7094,"birds"
"171","Anabazenops fuscus",-44.5712,-22.484,"birds"
"172","Anabazenops fuscus",-41.2959,-20.2744,"birds"
"173","Anabazenops fuscus",-44.6735,-23.0355,"birds"
"174","Aphantochroa cirrochloris",-40.5999,-19.9357,"birds"
"175","Aphantochroa cirrochloris",-40.6017,-19.9361,"birds"
"176","Aphantochroa cirrochloris",-46.6739,-23.4017,"birds"
"177","Aphantochroa cirrochloris",-40.6,-19.9167,"birds"
"178","Aphantochroa cirrochloris",-45.0803,-23.3948,"birds"
"179","Aphantochroa cirrochloris",-45.0696,-23.397,"birds"
"180","Aphantochroa cirrochloris",-40.1334,-14.4014,"birds"
"181","Aphantochroa cirrochloris",-44.5159,-22.9913,"birds"
"182","Aphantochroa cirrochloris",-48.6921,-25.9645,"birds"
"183","Aphantochroa cirrochloris",-45.083,-23.4258,"birds"
"184","Aphantochroa cirrochloris",-54.4383,-25.6425,"birds"
"185","Aphantochroa cirrochloris",-42.6421,-22.4445,"birds"
"186","Aphantochroa cirrochloris",-45.0603,-23.3988,"birds"
"187","Aphantochroa cirrochloris",-40.1894,-14.3449,"birds"
"188","Aphantochroa cirrochloris",-43.0001,-22.4719,"birds"
"189","Aphantochroa cirrochloris",-42.5174,-22.0552,"birds"
"190","Aphantochroa cirrochloris",-42.5143,-22.2459,"birds"
"191","Aphantochroa cirrochloris",-47.834,-22.27,"birds"
"192","Aphantochroa cirrochloris",-47.6537,-24.2748,"birds"
"193","Aphantochroa cirrochloris",-48.8843,-25.3526,"birds"
"194","Aphantochroa cirrochloris",-44.595,-22.4609,"birds"
"195","Aphantochroa cirrochloris",-44.5589,-22.9542,"birds"
"196","Aphantochroa cirrochloris",-42.5509,-22.38,"birds"
"197","Aphantochroa cirrochloris",-42.5297,-22.3583,"birds"
"198","Aphantochroa cirrochloris",-45.173,-23.4736,"birds"
"199","Aphantochroa cirrochloris",-45.0667,-23.45,"birds"
"200","Aphantochroa cirrochloris",-42.6002,-22.4093,"birds"
"201","Aphantochroa cirrochloris",-45.0857,-23.4339,"birds"
"202","Aphantochroa cirrochloris",-42.7706,-22.453,"birds"
"203","Aphantochroa cirrochloris",-42.5672,-22.2217,"birds"
"204","Aphantochroa cirrochloris",-42.5102,-22.3358,"birds"
"205","Aphantochroa cirrochloris",-45.17,-23.47,"birds"
"206","Aphantochroa cirrochloris",-46.9406,-23.8557,"birds"
"207","Aphantochroa cirrochloris",-45.4819,-22.6894,"birds"
"208","Aphantochroa cirrochloris",-46.519,-23.493,"birds"
"209","Aphantochroa cirrochloris",-43.0021,-22.4775,"birds"
"210","Aphantochroa cirrochloris",-40.53,-20.12,"birds"
"211","Aphantochroa cirrochloris",-43.05,-19.75,"birds"
"212","Aphantochroa cirrochloris",-49.27,-16.67,"birds"
"213","Aphantochroa cirrochloris",-40.6,-19.9,"birds"
"214","Aphantochroa cirrochloris",-40.5652,-19.9048,"birds"
"215","Aphantochroa cirrochloris",-42.7119,-22.4878,"birds"
"216","Aphantochroa cirrochloris",-36.4496,-9.26106,"birds"
"217","Aphantochroa cirrochloris",-48.3753,-25.1784,"birds"
"218","Aphantochroa cirrochloris",-48.5768,-25.2553,"birds"
"219","Aphantochroa cirrochloris",-48.7224,-26.099,"birds"
"220","Aphantochroa cirrochloris",-45.0728,-23.3905,"birds"
"221","Aphantochroa cirrochloris",-44.5432,-22.9828,"birds"
"222","Aphantochroa cirrochloris",-48.7486,-25.4363,"birds"
"223","Aphantochroa cirrochloris",-42.605,-22.4129,"birds"
"224","Aphantochroa cirrochloris",-45.2097,-23.3642,"birds"
"225","Aphantochroa cirrochloris",-42.6242,-22.4206,"birds"
"226","Aphantochroa cirrochloris",-44.7245,-23.3528,"birds"
"227","Aphantochroa cirrochloris",-42.5403,-22.3662,"birds"
"228","Aphantochroa cirrochloris",-42.5786,-22.3714,"birds"
"229","Aphantochroa cirrochloris",-42.5664,-22.3868,"birds"
"230","Aphantochroa cirrochloris",-45.41667,-23.8,"birds"
"231","Aphantochroa cirrochloris",-47.42722,-24.26745,"birds"
"232","Aphantochroa cirrochloris",-55.92876,-12.69555,"birds"
"233","Aphantochroa cirrochloris",-36.0466,-9.15396,"birds"
"234","Aphantochroa cirrochloris",-48.4128,-24.2682,"birds"
"235","Aphantochroa cirrochloris",-45.3044,-23.5623,"birds"
"236","Aphantochroa cirrochloris",-43.5894,-19.2897,"birds"
"237","Aphantochroa cirrochloris",-45.8849,-23.5227,"birds"
"238","Aphantochroa cirrochloris",-48.9642,-26.2608,"birds"
