"","sp","lon","lat","grupo"
"1","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.022,-19.159,"plants"
"2","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.615,-19.921,"plants"
"3","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.855,-17.082,"plants"
"4","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.281,-17.832,"plants"
"5","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.735,-18.967,"plants"
"6","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.526,-19.499,"plants"
"7","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.708,-19.804,"plants"
"8","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.778,-17.614,"plants"
"9","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.386,-20.369,"plants"
"10","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.873,-20.778,"plants"
"11","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.578,-15.394,"plants"
"12","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.041,-16.058,"plants"
"13","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.303,-16.192,"plants"
"14","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.73,-14.846,"plants"
"15","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.201,-15.178,"plants"
"16","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.064,-16.127,"plants"
"17","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.646,-20.17,"plants"
"18","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-44.283,-23.173,"plants"
"19","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-44.637,-23.241,"plants"
"20","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-44.852,-23.356,"plants"
"21","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-46.163,-23.85,"plants"
"22","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.374,-24.582,"plants"
"23","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.794,-24.906,"plants"
"24","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.931,-25.077,"plants"
"25","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.198,-25.378,"plants"
"26","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.353,-25.51,"plants"
"27","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.548,-25.764,"plants"
"28","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.662,-21.817,"plants"
"29","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.006,-22.312,"plants"
"30","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.287,-22.541,"plants"
"31","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.455,-22.629,"plants"
"32","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.628,-22.941,"plants"
"33","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-45.131,-23.421,"plants"
"34","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.991,-25.169,"plants"
"35","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.494,-25.275,"plants"
"36","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.711,-25.436,"plants"
"37","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.69,-26.01,"plants"
"38","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.69,-26.46,"plants"
"39","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.904,-22.702,"plants"
"40","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.828,-22.803,"plants"
"41","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.978,-23.079,"plants"
"42","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-44.252,-23.149,"plants"
"43","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-45.357,-23.841,"plants"
"44","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.921,-24.182,"plants"
"45","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.052,-24.249,"plants"
"46","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-47.249,-24.521,"plants"
"47","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.616,-24.571,"plants"
"48","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-48.257,-25.22,"plants"
"49","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.429,-21.08,"plants"
"50","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.105,-21.273,"plants"
"51","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.252,-21.551,"plants"
"52","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.318,-21.748,"plants"
"53","Abarema filamentosa (Benth.) Pittier",-35.019,-6.379,"plants"
"54","Abarema filamentosa (Benth.) Pittier",-34.858,-7.775,"plants"
"55","Abarema filamentosa (Benth.) Pittier",-34.897,-8.102,"plants"
"56","Abarema filamentosa (Benth.) Pittier",-35.019,-8.527,"plants"
"57","Abarema filamentosa (Benth.) Pittier",-36.376,-10.421,"plants"
"58","Abarema filamentosa (Benth.) Pittier",-35.387,-5.414,"plants"
"59","Abarema filamentosa (Benth.) Pittier",-35.518,-5.183,"plants"
"60","Abarema filamentosa (Benth.) Pittier",-35.184,-5.928,"plants"
"61","Abarema filamentosa (Benth.) Pittier",-35.183,-6.72,"plants"
"62","Abarema filamentosa (Benth.) Pittier",-36.88,-10.711,"plants"
"63","Abarema filamentosa (Benth.) Pittier",-37.359,-11.365,"plants"
"64","Abarema filamentosa (Benth.) Pittier",-38.357,-12.941,"plants"
