"","sp","lon","lat","grupo","occs_names"
"1","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.022,-19.159,"plants","Abarema brachystachya"
"2","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.615,-19.921,"plants","Abarema brachystachya"
"3","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.855,-17.082,"plants","Abarema brachystachya"
"4","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.281,-17.832,"plants","Abarema brachystachya"
"5","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.735,-18.967,"plants","Abarema brachystachya"
"6","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.526,-19.499,"plants","Abarema brachystachya"
"7","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.708,-19.804,"plants","Abarema brachystachya"
"8","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.778,-17.614,"plants","Abarema brachystachya"
"9","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.386,-20.369,"plants","Abarema brachystachya"
"10","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-42.873,-20.778,"plants","Abarema brachystachya"
"11","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.578,-15.394,"plants","Abarema brachystachya"
"12","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.041,-16.058,"plants","Abarema brachystachya"
"13","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.303,-16.192,"plants","Abarema brachystachya"
"14","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-40.73,-14.846,"plants","Abarema brachystachya"
"15","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.201,-15.178,"plants","Abarema brachystachya"
"16","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-41.064,-16.127,"plants","Abarema brachystachya"
"17","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-43.646,-20.17,"plants","Abarema brachystachya"
"18","Abarema brachystachya (DC.) Barneby & J.W.Grimes",-44.283,-23.173,"plants","Abarema brachystachya"
